"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"22","Pop_per_km2",-0.00556343617489796,-0.0107549263975092,-0.000371945952286702,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"23","prop_not_in_work",-6.12071615684668,-18.841910349069,6.60047803537561,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"24","prop_asian",-10.2723894926665,-13.6637428847301,-6.88103610060298,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"25","prop_u25",-12.6384688683728,-35.6432661602757,10.36632842353,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"26","Crime_score",-0.573533287457471,-1.24279644042785,0.0957298655129137,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"27","Income_score",-24.9076650989574,-48.9577366810424,-0.857593516872367,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"28","Living_Environment_score",-0.0613574889258638,-0.0927271510156306,-0.0299878268360971,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"29","unringfenced_percapita",-0.0449355384632734,-0.0887409232442363,-0.00113015368231043,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"30","IMD_Average_score",-0.0325933718704951,-0.165266956918984,0.100080213177994,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"31","prop_o65",-24.5595712961479,-47.7452448510268,-1.37389774126909,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"32","contain_outbreak_management_percapita",-0.0855206501432956,-0.162964732447514,-0.00807656783907713,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"33","(Intercept)",68.1379597484176,49.2668645790483,87.0090549177868,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"34","Median_age",0.396103920990158,0.0652222813070343,0.726985560673282,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"35","prop_all_other_white",-55.6472310571239,-63.8016119046723,-47.4928502095754,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"36","prop_black_afr_car",-36.8716427863475,-47.1666983982865,-26.5765871744085,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"37","mean_popden",0.00740835842989816,0.000737151709736049,0.0140795651500603,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"38","Pop_per_km2",-0.00701344168168651,-0.0135884237236946,-0.000438459639678449,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"39","prop_not_in_work",-0.627620073028393,-17.0533067820619,15.7980666360051,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"40","prop_asian",-23.6165167323289,-27.9174120985778,-19.31562136608,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"41","prop_u25",-18.4276513109363,-48.3426934661713,11.4873908442987,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"42","Crime_score",-1.27672180144662,-2.13636060459484,-0.417082998298398,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"43","Income_score",-44.5807343513007,-75.184553434455,-13.9769152681464,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"44","Living_Environment_score",-0.059028262306905,-0.100086601525036,-0.0179699230887744,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"45","unringfenced_percapita",-0.0483660204624146,-0.103802252029766,0.0070702111049368,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"46","IMD_Average_score",-0.0733955199291466,-0.242627490798879,0.0958364509405856,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"47","prop_o65",10.7916062366471,-18.9311188825611,40.5143313558553,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
"48","contain_outbreak_management_percapita",-0.0907305445750627,-0.19519154673297,0.0137304575828447,1373.03856947227,1440.52764321861,"Third","Lasso","Random"
