"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"no_jobs1","no_jobs",-0.0392805510994166,-0.0605996825713925,-0.0179614196274406,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"residential_percent_change_from_baseline1","residential_percent_change_from_baseline",-0.512711111757835,-0.740266930587491,-0.285155292928179,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Specialised_services1","Specialised_services",-4.64640560262933e-07,-2.23141948092041e-06,1.30213836039454e-06,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"unringfenced_percapita1","unringfenced_percapita",0.0896000510212531,-0.143623599480901,0.322823701523407,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"ASC_workforce_capacity1","ASC_workforce_capacity",-0.637158849221982,-1.53226944921027,0.257951750766304,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"ASC_rapid_testing1","ASC_rapid_testing",-12.7067026452755,-126.937191198497,101.523785907946,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"DWP_winter_grant_percapita1","DWP_winter_grant_percapita",-0.296803112558505,-1.08561812684007,0.492011901723055,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"sales_compensation1","sales_compensation",-0.0366431377703874,-0.164053427588405,0.0907671520476297,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"fire_contingency1","fire_contingency",-18.9050588271653,-54.5313991947479,16.7212815404173,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"protect_and_vaccinate1","protect_and_vaccinate",-1.72034642825086,-3.67435977201402,0.2336669155123,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Income_score1","Income_score",22.3925490872696,5.88748136329147,38.8976168112476,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Education_Skills_and_Training_score1","Education_Skills_and_Training_score",0.0455986964996659,-0.00593576358685469,0.0971331565861865,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Living_Environment_score1","Living_Environment_score",0.0376134707092512,0.0135057980316092,0.0617211433868932,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Population1","Population",1.60660401883181e-05,5.22218107539629e-06,2.69098993012398e-05,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"prop_black_afr_car1","prop_black_afr_car",26.9069558050319,19.5819243848269,34.2319872252369,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"prop_o651","prop_o65",-41.7105633577503,-62.4194846782506,-21.00164203725,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"contain_outbreak_management_percapita1","contain_outbreak_management_percapita",0.194593721014366,0.101354886978274,0.287832555050457,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Health_Deprivation_and_Disability_score1","Health_Deprivation_and_Disability_score",-0.894571799818372,-1.62406296853902,-0.165080631097722,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Crime_score1","Crime_score",0.951048926325193,0.33314446420668,1.56895338844371,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"1","(Intercept)",4.34877933223849,0.555453412987363,8.14210525148962,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"2","Pop_per_km2",0.00301687464280859,0.00210749131553098,0.0039262579700862,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"3","Median_age",-0.0775628975950081,-0.125371491398737,-0.0297543037912794,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"4","prop_travelling_to_work",-1.95082067625941,-4.21078656830726,0.309145215788441,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"5","prop_all_other_white",3.22354166374386,2.03867300162384,4.40841032586387,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"6","prop_asian",2.08127044872139,1.48377962369933,2.67876127374346,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"7","prop_u25",7.39292969409824,3.05558644018853,11.7302729480079,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
