"","...1","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"65","17","contain_outbreak_management_percapita",-0.00162665619735446,-0.020528619086954,0.0172753066922451,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"66","18","Income_score",4.64546790759245,-3.20725822545868,12.4981940406436,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"67","19","Employment_score",-4.68249472395675,-14.6996958732393,5.3347064253258,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"68","20","Education_Skills_and_Training_score",0.00532606837087193,-0.00802505697633091,0.0186771937180748,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"69","21","Health_Deprivation_and_Disability_score",0.109328483031048,-0.0957585755643513,0.314415541626448,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"70","22","Crime_score",-0.00607927751349254,-0.158647751803201,0.146489196776216,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"71","23","Barriers_to_Housing_and_Services_score",0.00374008734504785,-0.00879727488461564,0.0162774495747114,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"72","24","Living_Environment_score",0.00777465869297395,-0.00051840275635356,0.0160677201423015,325.089965342047,422.574182975661,"First vs Second","Simple","Random"
"73","25","(Intercept)",-15.859078594397,-42.7734450166594,11.0552878278654,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"74","26","Pop_per_km2",-0.00030460194805596,-0.00046277695776746,-0.00014642693834445,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"75","27","prop_travelling_to_work",32.3803055151409,5.96046182602038,58.8001492042614,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"76","28","prop_not_in_work",34.0315418630429,6.13265891663178,61.9304248094539,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"77","29","prop_all_other_white",7.06344708748502,0.449736076555209,13.6771580984148,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"78","30","prop_mixed_multiple",-3.74149079587299,-25.2855413767984,17.8025597850524,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"79","31","prop_asian",22.2873266653798,19.0108410834833,25.5638122472764,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"80","32","prop_black_afr_car",23.4046324155601,14.401092439929,32.4081723911912,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"81","33","prop_other",7.53849536042773,-9.65178038213728,24.7287711029928,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"82","34","IMD_Average_score",-0.0154998865708713,-0.180809176938603,0.14980940379686,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"83","35","prop_o65",-38.5828189041421,-56.206722814613,-20.9589149936712,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"84","36","prop_u25",-1.49611404668629,-18.5349384179683,15.5427103245957,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"85","37","Median_annual_income",-7.55157698970623e-05,-0.00015453917817042,3.50763837630199e-06,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"86","38","Other_proportion",-0.024221449952812,-0.190538511256757,0.142095611351133,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"87","39","unringfenced_percapita",0.0394871858925349,-0.00289878021522291,0.0818731520002927,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"88","40","ASC_infection_control_fund_percapita",0.0361317231173311,-0.0298783952839704,0.102141841518633,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"89","41","contain_outbreak_management_percapita",0.104429017424399,0.0204977825200205,0.188360252328777,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"90","42","Income_score",22.3809403524153,-11.7987854752273,56.5606661800578,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"91","43","Employment_score",3.9831281706137,-39.570564808997,47.5368211502244,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"92","44","Education_Skills_and_Training_score",0.104104964613012,0.0453081377495959,0.162901791476429,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"93","45","Health_Deprivation_and_Disability_score",-1.81281886172805,-2.71327296708472,-0.91236475637138,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"94","46","Crime_score",0.655859255742119,-0.0110971393691438,1.32281565085338,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"95","47","Barriers_to_Housing_and_Services_score",0.039426085258759,-0.0156132689886055,0.0944654395061236,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
