"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"ASC_infection_control_fund_percapita2","ASC_infection_control_fund_percapita",-0.0807691271568793,-0.17267709482413,0.0111388405103717,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"contain_outbreak_management_percapita2","contain_outbreak_management_percapita",-0.218662771705951,-0.32729559905004,-0.110029944361862,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Income_score2","Income_score",-30.4537141142086,-78.1095167638166,17.2020885353994,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Employment_score2","Employment_score",6.56455064347398,-54.5405060224397,67.6696073093876,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Education_Skills_and_Training_score2","Education_Skills_and_Training_score",-0.131485393028916,-0.210420083066046,-0.0525507029917874,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Health_Deprivation_and_Disability_score2","Health_Deprivation_and_Disability_score",0.605901695824682,-0.620806965651255,1.83261035730062,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Crime_score2","Crime_score",-1.16628189946983,-2.07605276074858,-0.25651103819109,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Barriers_to_Housing_and_Services_score2","Barriers_to_Housing_and_Services_score",-0.0303402103277827,-0.10511060645427,0.0444301857987048,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Living_Environment_score2","Living_Environment_score",-0.0933511490673015,-0.141632503602037,-0.0450697945325658,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"1","(Intercept)",112.528911799319,83.1405336898914,141.917289908746,1231.72175608084,1329.20597371445,"First","Simple","Random"
"2","Pop_per_km2",-3.8691872747127e-05,-0.000210343160091413,0.000132959414597159,1231.72175608084,1329.20597371445,"First","Simple","Random"
"3","prop_travelling_to_work",1.03993784114326,-27.8349785108102,29.9148541930968,1231.72175608084,1329.20597371445,"First","Simple","Random"
"4","prop_not_in_work",-17.5892918469551,-47.8237374513799,12.6451537574697,1231.72175608084,1329.20597371445,"First","Simple","Random"
"5","prop_all_other_white",-54.2343965290791,-61.4685672869131,-47.0002257712451,1231.72175608084,1329.20597371445,"First","Simple","Random"
"6","prop_mixed_multiple",-19.6578929047179,-43.3988264588141,4.08304064937842,1231.72175608084,1329.20597371445,"First","Simple","Random"
"7","prop_asian",-5.56602967203666,-9.1632835032572,-1.96877584081611,1231.72175608084,1329.20597371445,"First","Simple","Random"
"8","prop_black_afr_car",-18.801864430446,-28.6406323285961,-8.96309653229598,1231.72175608084,1329.20597371445,"First","Simple","Random"
"9","prop_other",-1.25367516970033,-20.0365604191714,17.5292100797708,1231.72175608084,1329.20597371445,"First","Simple","Random"
"10","IMD_Average_score",0.0323624393463252,-0.148808135610532,0.213533014303182,1231.72175608084,1329.20597371445,"First","Simple","Random"
"11","prop_o65",14.1031847745165,-4.9995361694279,33.205905718461,1231.72175608084,1329.20597371445,"First","Simple","Random"
"12","prop_u25",-34.9130911742489,-53.1891504115271,-16.6370319369707,1231.72175608084,1329.20597371445,"First","Simple","Random"
"13","Median_annual_income",-6.82774143067993e-05,-0.000154028915123781,1.74740865101828e-05,1231.72175608084,1329.20597371445,"First","Simple","Random"
"14","Other_proportion",-0.081017168850638,-0.211855171844592,0.0498208341433158,1231.72175608084,1329.20597371445,"First","Simple","Random"
"15","unringfenced_percapita",-0.0571194025202164,-0.103633828106034,-0.0106049769343983,1231.72175608084,1329.20597371445,"First","Simple","Random"
"16","ASC_infection_control_fund_percapita",-0.0648158935457625,-0.137219858053482,0.00758807096195734,1231.72175608084,1329.20597371445,"First","Simple","Random"
"17","contain_outbreak_management_percapita",-0.12554439792779,-0.214491957750237,-0.0365968381053427,1231.72175608084,1329.20597371445,"First","Simple","Random"
"18","Income_score",-34.3122975236737,-71.7798886796408,3.15529363229335,1231.72175608084,1329.20597371445,"First","Simple","Random"
"19","Employment_score",41.5291376681443,-6.31444515131528,89.3727204876039,1231.72175608084,1329.20597371445,"First","Simple","Random"
"20","Education_Skills_and_Training_score",-0.0714460409101604,-0.134702872218683,-0.00818920960163778,1231.72175608084,1329.20597371445,"First","Simple","Random"
"21","Health_Deprivation_and_Disability_score",-0.523446053837189,-1.49745136980834,0.450559262133964,1231.72175608084,1329.20597371445,"First","Simple","Random"
"22","Crime_score",-0.654953913981776,-1.38046354364227,0.0705557156787217,1231.72175608084,1329.20597371445,"First","Simple","Random"
"23","Barriers_to_Housing_and_Services_score",-0.0263991186277961,-0.0859215658065371,0.033123328550945,1231.72175608084,1329.20597371445,"First","Simple","Random"
"24","Living_Environment_score",-0.0516068117035351,-0.0907037777733939,-0.0125098456336764,1231.72175608084,1329.20597371445,"First","Simple","Random"
"25","(Intercept)",110.000397907075,79.9242341267117,140.076561687437,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"26","Pop_per_km2",-8.10106985600456e-05,-0.000256593194210795,9.45717970907039e-05,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"27","prop_travelling_to_work",2.7748408693366,-26.7827506315915,32.3324323702647,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"28","prop_not_in_work",-17.5277096757545,-48.4301534045681,13.3747340530592,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"29","prop_all_other_white",-54.8981103727373,-62.3024452226256,-47.4937755228489,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"30","prop_mixed_multiple",-19.7352196726899,-44.074095674525,4.60365632914519,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"31","prop_asian",-6.77802925191753,-10.4635449604023,-3.0925135434328,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"32","prop_black_afr_car",-17.0525665269908,-27.1249142047857,-6.98021884919596,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"33","prop_other",-1.47730775182482,-20.7023456704721,17.7477301668225,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"34","IMD_Average_score",0.0153747378087906,-0.170214161377856,0.200963636995438,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"35","prop_o65",16.9820301772917,-2.53780701980667,36.5018673743901,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"36","prop_u25",-40.335474853408,-58.9754683646195,-21.6954813421965,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"37","Median_annual_income",-5.90521114776218e-05,-0.00014673048488906,2.86262619338166e-05,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"38","Other_proportion",-0.0894249425780689,-0.220695662579698,0.04184577742356,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"39","unringfenced_percapita",-0.0705553132484312,-0.118212601118934,-0.0228980253779283,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"40","ASC_infection_control_fund_percapita",-0.0701340587078025,-0.144279488465852,0.0040113710502471,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"41","contain_outbreak_management_percapita",-0.119739635351916,-0.210325058901416,-0.0291542118024154,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"42","Income_score",-36.1411233002349,-74.5130302787828,2.23078367831297,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"43","Employment_score",41.5270688378764,-7.49770720320441,90.5518448789573,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"44","Education_Skills_and_Training_score",-0.0704776439284931,-0.135074375315868,-0.00588091254111868,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"45","Health_Deprivation_and_Disability_score",-0.628987483887776,-1.62470563924286,0.366730671467304,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"46","Crime_score",-0.661501571336268,-1.40328854045787,0.0802853977853363,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"47","Barriers_to_Housing_and_Services_score",-0.0259100347111729,-0.0867452717857826,0.0349252023634368,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"48","Living_Environment_score",-0.0567481111691922,-0.0966014788392285,-0.0168947434991559,1245.84051829143,1343.32473592505,"Second","Simple","Random"
"49","(Intercept)",114.483136354882,77.2171299786281,151.749142731136,1367.70486681911,1465.18908445272,"Third","Simple","Random"
