"","Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Dose"
"31","residential_percent_change_from_baseline",4.44011075724863,3.71228911590842,5.36323766250637,2.10715703193868,0.225219607048645,0.186454537898042,0.269375570915169,"Third"
"32","unringfenced_percapita",13.7467052564001,11.2736922997934,16.815004980907,3.70765495379493,0.0727447036470377,0.0594706930586982,0.0887020838787951,"Third"
"33","contain_outbreak_management_percapita",5.78694694045182,4.80634483837385,7.02017473027766,2.40560739532697,0.172802690311504,0.14244659690407,0.208058313256261,"Third"
"34","DWP_winter_grant_percapita",9.31415199710883,7.67208541928048,11.3603474906476,3.05190956568323,0.107363504515538,0.0880254764058276,0.130342657224192,"Third"
"35","fire_contingency",6.85818989631484,5.67664673623341,8.33824699552257,2.61881459754501,0.145811068972782,0.119929284960853,0.176160336632736,"Third"
"36","Income_score",10.0405961550991,8.26233492314602,12.2542838776413,3.16868997459504,0.0995956798334277,0.0816041157512732,0.12103116241374,"Third"
"37","Crime_score",3.74124470899931,3.14472397366415,4.50367816413164,1.93422974566087,0.267290722147784,0.222040732831275,0.31799293304424,"Third"
"38","Living_Environment_score",1.65558411294371,1.45472420838909,1.94516746901769,1.28669503494173,0.604016426699064,0.51409455274563,0.687415521260461,"Third"
"39","Pop_per_km2",5939.21681343454,4860.12535260872,7257.94777651045,77.0663143885481,0.000168372368177904,0.000137779993848453,0.000205756009865721,"First vs Second"
"40","Median_age",32.5982360490894,26.7747304238008,39.7374961831602,5.70948649609485,0.0306765064985145,0.0251651486895588,0.037348648676256,"First vs Second"
"41","prop_travelling_to_work",4.55288079393005,3.82640038843629,5.46609121181896,2.13374806243147,0.219641155844276,0.182946087295025,0.261342227285489,"First vs Second"
"42","prop_all_other_white",3.19458645162444,2.71561538528272,3.80727821338574,1.78734060873255,0.313029562712726,0.262654826874529,0.368240659343551,"First vs Second"
"43","prop_asian",2.22952138950992,1.9273186711044,2.63020857270348,1.49315819306258,0.448526757673231,0.380197985200901,0.518855555644555,"First vs Second"
"44","prop_u25",24.3634984229193,20.0363395088601,29.6742657801251,4.93593946710444,0.0410450085058096,0.0336992331136216,0.0499093159984536,"First vs Second"
"45","mean_popden",5949.53158991911,4868.56587267959,7270.55299668089,77.1332067913626,0.000168080458921237,0.000137541119699769,0.000205399295429398,"First vs Second"
"46","no_jobs",11.6947071452876,9.66975077811978,14.1926238539777,3.41975249766523,0.0855087679902232,0.070459134990725,0.103415281628845,"First vs Second"
"47","residential_percent_change_from_baseline",6.35114302207766,5.29752461740679,7.66307565214348,2.52014742070333,0.157451973058051,0.130495906003523,0.188767409728341,"First vs Second"
"48","Specialised_services",1.19937868673606,1.09866953715861,1.40287875943614,1.09516148888466,0.833765024390549,0.712819973410909,0.910191796694584,"First vs Second"
"49","unringfenced_percapita",90.3541545620324,74.0359700330886,110.318256933923,9.50548023836946,0.0110675597026748,0.00906468274420769,0.0135069480355707,"First vs Second"
"50","ASC_workforce_capacity",15.2138747237605,12.5493699119713,18.4930958314308,3.90049672782333,0.0657294751111782,0.0540742344664868,0.0796852755966704,"First vs Second"
"51","ASC_rapid_testing",51.4871542312152,42.2313708888052,62.8207129042745,7.17545498426512,0.0194223202841871,0.0159183166469917,0.0236790797682839,"First vs Second"
"52","DWP_winter_grant_percapita",26.5127377444357,21.7950344355462,32.3007313949782,5.14905212096709,0.0377177192955062,0.0309590512911875,0.0458820105541595,"First vs Second"
"53","sales_compensation",3.10016343433616,2.63843128298132,3.69201796665947,1.76072809778687,0.322563639363139,0.270854586578515,0.379013092533546,"First vs Second"
"54","fire_contingency",7.79528102705893,6.47909258466167,9.42764445448012,2.79200304925674,0.128282738817088,0.106071034480388,0.154342600747419,"First vs Second"
"55","protect_and_vaccinate",2.01227931994941,1.75022695451905,2.3658659095422,1.41854831428098,0.496948902712542,0.422678223633351,0.571354473440157,"First vs Second"
"56","Income_score",14.8820791379418,12.277870446951,18.0876338843013,3.85772979068543,0.0671949121309604,0.055286391044653,0.081447349059489,"First vs Second"
"57","Education_Skills_and_Training_score",7.24940401916057,6.03245701931467,8.76063271773734,2.69247173042923,0.137942373932663,0.114147006525606,0.16576993367681,"First vs Second"
"58","Living_Environment_score",1.82435810360925,1.59731305527216,2.13770539081321,1.35068801120364,0.548137998796197,0.467791307584993,0.626051353364551,"First vs Second"
